face_id,emotion,start_time,end_time,duration_seconds,confidence
face_0,neutral,2025-04-11 22:50:32.188,2025-04-11 22:50:32.189,0.0,0.6910476088523865
face_0,happy,2025-04-11 22:50:32.189,2025-04-11 22:50:32.190,0.0,0.9994446039199829
face_0,neutral,2025-04-11 22:50:32.190,2025-04-11 22:50:32.540,0.35,0.5881094336509705
face_0,happy,2025-04-11 22:50:32.540,2025-04-11 22:50:35.470,2.93,0.9953012466430664
face_0,neutral,2025-04-11 22:50:35.470,2025-04-11 22:50:35.952,0.48,0.7496413588523865
face_0,happy,2025-04-11 22:50:35.952,2025-04-11 22:50:36.544,0.59,0.4848921000957489
face_0,neutral,2025-04-11 22:50:36.544,2025-04-11 22:50:43.558,7.01,0.8561129570007324
face_0,sad,2025-04-11 22:50:43.558,2025-04-11 22:50:43.972,0.41,0.4911462664604187
face_1,happy,2025-04-11 22:50:43.558,2025-04-11 22:50:43.972,0.41,0.5109785199165344
face_2,surprised,2025-04-11 22:50:43.558,2025-04-11 22:50:43.972,0.41,0.46632131934165955
face_0,fear,2025-04-11 22:50:43.972,2025-04-11 22:50:44.465,0.49,0.4872204065322876
face_0,surprised,2025-04-11 22:50:44.465,2025-04-11 22:50:45.304,0.84,0.5012611150741577
face_0,happy,2025-04-11 22:50:45.304,2025-04-11 22:50:45.481,0.18,0.6543841361999512
face_1,anger,2025-04-11 22:50:45.304,2025-04-11 22:50:45.481,0.18,0.36526548862457275
face_2,fear,2025-04-11 22:50:45.304,2025-04-11 22:50:45.481,0.18,0.4571531116962433
face_0,surprised,2025-04-11 22:50:45.481,2025-04-11 22:50:46.685,1.2,0.7071882486343384
face_0,neutral,2025-04-11 22:50:46.685,2025-04-11 22:51:05.212,18.53,0.8280735611915588
face_1,fear,2025-04-11 22:50:46.685,2025-04-11 22:50:47.031,0.35,0.5592281818389893
face_1,fear,2025-04-11 22:51:04.525,2025-04-11 22:51:05.212,0.69,0.50730299949646
