start_time,end_time,duration
2025-04-11 16:14:31.523,2025-04-11 16:14:31.900,0.38
2025-04-11 16:14:33.967,2025-04-11 16:14:41.039,7.07
2025-04-11 16:14:45.932,2025-04-11 16:14:46.921,0.99
2025-04-11 16:14:50.030,2025-04-11 16:14:56.311,6.28
2025-04-11 16:15:03.015,2025-04-11 16:15:15.409,12.39
2025-04-11 16:15:15.803,2025-04-11 16:15:20.167,4.36
2025-04-11 16:15:23.211,2025-04-11 16:15:26.163,2.95
2025-04-11 16:15:30.336,2025-04-11 16:15:32.118,1.78
2025-04-11 16:15:36.568,2025-04-11 16:15:51.639,15.07
2025-04-11 16:15:55.447,2025-04-11 16:16:02.110,6.66
